epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,37.8026,0.98281,3.06025,0.26927,1.17627,1.3338,0.41776,0.42857,0.35271,0.18012,0.13925,0.14286,0.07536,0.03556,2.38823,8.01076,0.65291,2.89251,2.13426,0.000255592,0.000255592,0.000255592
88,38.1742,0.66165,1.94283,0.29817,0.50893,0.94973,0.39595,0.35714,0.37197,0.17982,0.20811,0.18904,0.08549,0.0449,2.31308,7.96091,0.64227,2.89247,2.09705,0.000241338,0.000241338,0.000241338
89,38.5096,0.67415,2.08051,0.25907,0.56362,0.99164,0.39595,0.35714,0.37197,0.17982,0.20811,0.18904,0.08549,0.0449,2.31308,7.96091,0.64227,2.89247,2.09705,0.000226688,0.000226688,0.000226688
90,39.297,0.69007,1.94878,0.3098,0.59707,1.06488,0.39595,0.35714,0.37197,0.17982,0.20811,0.18904,0.08549,0.0449,2.31308,7.96091,0.64227,2.89247,2.09705,0.000211642,0.000211642,0.000211642
91,40.4316,0.59311,0.95474,0.28504,0.54245,1.00695,0.39595,0.35714,0.37197,0.17982,0.20811,0.18904,0.08549,0.0449,2.31308,7.96091,0.64227,2.89247,2.09705,0.0001962,0.0001962,0.0001962
92,40.8495,0.75931,1.4921,0.32406,0.62852,0.96465,0.37473,0.34337,0.37719,0.19432,0.23703,0.21429,0.08798,0.04382,2.15788,7.91816,0.6425,2.82335,2.00885,0.000180362,0.000180362,0.000180362
93,41.218,0.62458,1.45337,0.25802,0.5406,0.94736,0.37473,0.34337,0.37719,0.19432,0.23703,0.21429,0.08798,0.04382,2.15788,7.91816,0.6425,2.82335,2.00885,0.000164128,0.000164128,0.000164128
94,41.5611,0.72343,1.27498,0.24201,0.54767,0.87927,0.37473,0.34337,0.37719,0.19432,0.23703,0.21429,0.08798,0.04382,2.15788,7.91816,0.6425,2.82335,2.00885,0.000147498,0.000147498,0.000147498
95,42.0755,0.45025,1.23158,0.21797,0.4724,0.98368,0.37473,0.34337,0.37719,0.19432,0.23703,0.21429,0.08798,0.04382,2.15788,7.91816,0.6425,2.82335,2.00885,0.000130472,0.000130472,0.000130472
96,42.4589,0.58579,1.25872,0.22321,0.4704,0.94246,0.41324,0.40366,0.39632,0.21715,0.27761,0.21429,0.131,0.07196,2.07888,7.87941,0.65276,2.68984,1.97786,0.00011305,0.00011305,0.00011305
97,42.7949,0.63823,1.01855,0.2237,0.50655,0.91521,0.41324,0.40366,0.39632,0.21715,0.27761,0.21429,0.131,0.07196,2.07888,7.87941,0.65276,2.68984,1.97786,9.5232e-05,9.5232e-05,9.5232e-05
98,43.1578,0.73861,0.76209,0.22469,0.53754,1.04207,0.41324,0.40366,0.39632,0.21715,0.27761,0.21429,0.131,0.07196,2.07888,7.87941,0.65276,2.68984,1.97786,7.7018e-05,7.7018e-05,7.7018e-05
99,43.4915,0.6068,1.12692,0.24592,0.51353,0.98162,0.41324,0.40366,0.39632,0.21715,0.27761,0.21429,0.131,0.07196,2.07888,7.87941,0.65276,2.68984,1.97786,5.8408e-05,5.8408e-05,5.8408e-05
100,43.8853,0.54695,1.00998,0.27592,0.51485,0.89112,0.46543,0.5,0.41173,0.20162,0.2598,0.21429,0.13022,0.06884,2.12423,7.82805,0.65924,2.62279,1.98765,3.9402e-05,3.9402e-05,3.9402e-05
