epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,30.2037,0.74077,1.80482,1.12563,1.10865,0.89719,0.39221,0.42613,0.27308,0.93045,0.36575,0.411,0.24465,1.7397,2.75523,2.02175,1.4585,2.92003e-05,2.92003e-05,2.92003e-05
61,30.6236,0.63515,1.4197,0.82079,0.96087,0.89719,0.39221,0.42613,0.27308,0.93045,0.36575,0.411,0.24465,1.7397,2.75523,2.02175,1.4585,2.89884e-05,2.89884e-05,2.89884e-05
62,31.0045,0.47743,1.45342,0.71044,0.89023,0.89719,0.39221,0.42613,0.27308,0.93045,0.36575,0.411,0.24465,1.7397,2.75523,2.02175,1.4585,2.87529e-05,2.87529e-05,2.87529e-05
63,31.3854,0.68167,1.76384,1.0113,1.08334,0.92142,0.37309,0.4238,0.26846,0.92716,0.36645,0.41065,0.2437,1.7391,2.76051,2.02521,1.45055,2.84938e-05,2.84938e-05,2.84938e-05
64,31.7217,0.5719,1.49029,0.71361,0.98095,0.92142,0.37309,0.4238,0.26846,0.92716,0.36645,0.41065,0.2437,1.7391,2.76051,2.02521,1.45055,2.82112e-05,2.82112e-05,2.82112e-05
65,32.1058,0.7071,1.49315,0.6886,1.03873,0.92142,0.37309,0.4238,0.26846,0.92716,0.36645,0.41065,0.2437,1.7391,2.76051,2.02521,1.45055,2.7905e-05,2.7905e-05,2.7905e-05
66,32.4585,0.69675,1.95608,1.15522,1.07347,0.9215,0.37048,0.4249,0.26801,0.92685,0.36646,0.41798,0.24311,1.74858,2.75417,2.0406,1.45073,2.75753e-05,2.75753e-05,2.75753e-05
67,32.783,0.80826,1.98829,1.16567,1.18869,0.9215,0.37048,0.4249,0.26801,0.92685,0.36646,0.41798,0.24311,1.74858,2.75417,2.0406,1.45073,2.7222e-05,2.7222e-05,2.7222e-05
68,33.1122,0.89323,1.73368,0.8768,1.21784,0.9215,0.37048,0.4249,0.26801,0.92685,0.36646,0.41798,0.24311,1.74858,2.75417,2.0406,1.45073,2.68451e-05,2.68451e-05,2.68451e-05
69,33.4623,0.71294,1.6079,0.83789,1.101,0.8975,0.38603,0.42635,0.26678,0.92145,0.36656,0.41065,0.2283,1.76291,2.76446,2.05628,1.4508,2.64447e-05,2.64447e-05,2.64447e-05
70,33.8041,0.61018,1.7477,0.60021,0.97862,0.8975,0.38603,0.42635,0.26678,0.92145,0.36656,0.41065,0.2283,1.76291,2.76446,2.05628,1.4508,2.60207e-05,2.60207e-05,2.60207e-05
71,34.1457,0.54731,1.83196,0.70759,0.98779,0.8975,0.38603,0.42635,0.26678,0.92145,0.36656,0.41065,0.2283,1.76291,2.76446,2.05628,1.4508,2.55731e-05,2.55731e-05,2.55731e-05
72,34.5094,0.62032,1.21589,0.88159,1.05144,0.91916,0.38049,0.41941,0.2651,0.90223,0.36667,0.41232,0.22457,1.754,2.76767,2.08034,1.44923,2.5102e-05,2.5102e-05,2.5102e-05
73,34.9725,0.62472,1.5862,0.69407,0.97425,0.91916,0.38049,0.41941,0.2651,0.90223,0.36667,0.41232,0.22457,1.754,2.76767,2.08034,1.44923,2.46073e-05,2.46073e-05,2.46073e-05
74,35.3061,0.48071,1.61626,0.56602,1.00022,0.91916,0.38049,0.41941,0.2651,0.90223,0.36667,0.41232,0.22457,1.754,2.76767,2.08034,1.44923,2.40891e-05,2.40891e-05,2.40891e-05
75,36.58,0.64203,1.5967,0.67762,1.06397,0.91133,0.38333,0.41953,0.26683,0.86479,0.36874,0.41244,0.2248,1.74225,2.75847,2.10009,1.4443,2.35472e-05,2.35472e-05,2.35472e-05
76,36.9315,0.55952,1.50125,0.61173,0.95607,0.91133,0.38333,0.41953,0.26683,0.86479,0.36874,0.41244,0.2248,1.74225,2.75847,2.10009,1.4443,2.29819e-05,2.29819e-05,2.29819e-05
77,37.2815,0.61732,1.47391,0.76904,0.97964,0.91133,0.38333,0.41953,0.26683,0.86479,0.36874,0.41244,0.2248,1.74225,2.75847,2.10009,1.4443,2.23929e-05,2.23929e-05,2.23929e-05
78,37.6452,0.66237,1.76017,1.01752,1.05566,0.88977,0.38333,0.42432,0.2674,0.85695,0.37795,0.41505,0.22491,1.7567,2.75968,2.14986,1.46067,2.17805e-05,2.17805e-05,2.17805e-05
79,37.9781,0.63708,1.57725,0.93713,1.03889,0.88977,0.38333,0.42432,0.2674,0.85695,0.37795,0.41505,0.22491,1.7567,2.75968,2.14986,1.46067,2.11444e-05,2.11444e-05,2.11444e-05
80,38.3157,0.56382,1.6007,0.5672,0.96214,0.88977,0.38333,0.42432,0.2674,0.85695,0.37795,0.41505,0.22491,1.7567,2.75968,2.14986,1.46067,2.04848e-05,2.04848e-05,2.04848e-05
81,38.6822,0.45621,1.14267,0.71212,0.96234,0.89535,0.38333,0.42065,0.28263,0.86076,0.37809,0.40971,0.22317,1.74216,2.7704,2.17574,1.45269,1.98016e-05,1.98016e-05,1.98016e-05
82,39.0144,0.60725,1.45468,0.6528,1.09574,0.89535,0.38333,0.42065,0.28263,0.86076,0.37809,0.40971,0.22317,1.74216,2.7704,2.17574,1.45269,1.90949e-05,1.90949e-05,1.90949e-05
83,39.377,0.65059,1.57271,0.78171,1.20588,0.89535,0.38333,0.42065,0.28263,0.86076,0.37809,0.40971,0.22317,1.74216,2.7704,2.17574,1.45269,1.83646e-05,1.83646e-05,1.83646e-05
84,39.7259,0.55803,1.3981,0.79292,0.94158,0.84765,0.38333,0.42102,0.26616,0.83294,0.38333,0.4038,0.22266,1.76285,2.79756,2.18802,1.45587,1.76107e-05,1.76107e-05,1.76107e-05
85,40.0789,0.55216,1.75633,0.83119,1.0062,0.84765,0.38333,0.42102,0.26616,0.83294,0.38333,0.4038,0.22266,1.76285,2.79756,2.18802,1.45587,1.68333e-05,1.68333e-05,1.68333e-05
86,40.4294,0.61167,1.62138,0.89995,1.00615,0.84765,0.38333,0.42102,0.26616,0.83294,0.38333,0.4038,0.22266,1.76285,2.79756,2.18802,1.45587,1.60323e-05,1.60323e-05,1.60323e-05
87,40.7724,0.82037,2.33888,1.5959,1.23305,0.84765,0.38333,0.42102,0.26616,0.83294,0.38333,0.4038,0.22266,1.76285,2.79756,2.18802,1.45587,1.52077e-05,1.52077e-05,1.52077e-05
88,41.1231,0.51175,1.36209,0.61639,0.98585,0.81549,0.4,0.41896,0.26938,0.81549,0.4,0.40383,0.22259,1.78083,2.80765,2.23962,1.46088,1.43596e-05,1.43596e-05,1.43596e-05
89,41.5845,0.63154,1.23875,0.64321,1.06456,0.81549,0.4,0.41896,0.26938,0.81549,0.4,0.40383,0.22259,1.78083,2.80765,2.23962,1.46088,1.34879e-05,1.34879e-05,1.34879e-05
90,41.9173,0.60545,1.48132,0.67218,1.03788,0.81549,0.4,0.41896,0.26938,0.81549,0.4,0.40383,0.22259,1.78083,2.80765,2.23962,1.46088,1.25927e-05,1.25927e-05,1.25927e-05
91,42.797,0.6449,1.84694,0.67972,1.05688,0.81549,0.4,0.41896,0.26938,0.81549,0.4,0.40383,0.22259,1.78083,2.80765,2.23962,1.46088,1.16739e-05,1.16739e-05,1.16739e-05
92,43.2723,0.61405,1.77275,0.71107,1.08743,0.90714,0.39991,0.42795,0.28558,0.85761,0.4,0.40913,0.22597,1.74315,2.79051,2.20522,1.4471,1.07315e-05,1.07315e-05,1.07315e-05
93,43.7145,0.58738,1.34583,0.66843,0.94911,0.90714,0.39991,0.42795,0.28558,0.85761,0.4,0.40913,0.22597,1.74315,2.79051,2.20522,1.4471,9.76562e-06,9.76562e-06,9.76562e-06
94,46.3732,0.60912,1.6953,0.81205,0.97819,0.90714,0.39991,0.42795,0.28558,0.85761,0.4,0.40913,0.22597,1.74315,2.79051,2.20522,1.4471,8.77613e-06,8.77613e-06,8.77613e-06
95,46.7484,0.56259,1.25852,0.5862,0.9341,0.90714,0.39991,0.42795,0.28558,0.85761,0.4,0.40913,0.22597,1.74315,2.79051,2.20522,1.4471,7.76308e-06,7.76308e-06,7.76308e-06
96,47.1208,0.55016,1.31479,0.61865,0.94593,0.9088,0.39739,0.42606,0.28482,0.85976,0.38323,0.40699,0.22436,1.76841,2.81991,2.20112,1.44389,6.72648e-06,6.72648e-06,6.72648e-06
97,47.5155,0.52389,1.4363,0.63523,0.97636,0.9088,0.39739,0.42606,0.28482,0.85976,0.38323,0.40699,0.22436,1.76841,2.81991,2.20112,1.44389,5.6663e-06,5.6663e-06,5.6663e-06
98,47.8839,0.55634,1.36968,0.63417,0.97062,0.9088,0.39739,0.42606,0.28482,0.85976,0.38323,0.40699,0.22436,1.76841,2.81991,2.20112,1.44389,4.58257e-06,4.58257e-06,4.58257e-06
99,48.2643,0.60608,1.61085,0.72124,1.06189,0.9088,0.39739,0.42606,0.28482,0.85976,0.38323,0.40699,0.22436,1.76841,2.81991,2.20112,1.44389,3.47528e-06,3.47528e-06,3.47528e-06
100,48.6569,0.54429,1.39321,0.54859,0.96064,0.91008,0.39441,0.51045,0.32747,0.86151,0.38118,0.48934,0.26677,1.79247,2.86031,2.22537,1.45051,2.34442e-06,2.34442e-06,2.34442e-06
